コード	前	後
JP-PRTR-C1-496	メチル＝（Ｅ）―メトキシイミノ［二―（オルト―トリルオキシメチル）フェニル］アセタート（別名クレソキシムメチル）	メチル＝（Ｅ）－メトキシイミノ［２－（オルト－トリルオキシメチル）フェニル］アセタート（別名クレソキシムメチル）
JP-PRTR-C1-497	四・四′―メチレンジアニリン	４，４’－メチレンジアニリン
JP-PRTR-C1-498	メチレンビス（四・一―フェニレン）＝ジイソシアネート	メチレンビス（４，１－フェニレン）＝ジイソシアネート
JP-PRTR-C1-499	三―メトキシアニリン	３－メトキシアニリン
JP-PRTR-C1-500	（Ｅ）―二―メトキシイミノ―Ｎ―メチル―二―（二―フェノキシフェニル）アセトアミド（別名メトミノストロビン）	（Ｅ）－２－メトキシイミノ－Ｎ－メチル－２－（２－フェノキシフェニル）アセトアミド（別名メトミノストロビン）
JP-PRTR-C1-501	二―（二―メトキシエトキシ）エタノール	２－（２－メトキシエトキシ）エタノール
JP-PRTR-C1-502	三―メトキシカルボニルアミノフェニル＝三′―メチルカルバニラート（別名フェンメディファム）	３－メトキシカルボニルアミノフェニル＝３’－メチルカルバニラート（別名フェンメディファム）
JP-PRTR-C1-503	Ｎ―（六―メトキシ―二―ピリジル）―Ｎ―メチルチオカルバミン酸Ｏ―三―ターシャリ―ブチルフェニル（別名ピリブチカルブ）	Ｎ－（６－メトキシ－２－ピリジル）－Ｎ－メチルチオカルバミン酸Ｏ－３－ターシャリ－ブチルフェニル（別名ピリブチカルブ）
JP-PRTR-C1-504	一―メトキシ―二―（二―メトキシエトキシ）エタン	１－メトキシ－２－（２－メトキシエトキシ）エタン
JP-PRTR-C1-506	硫化（二・四・四―トリメチルペンテン）	硫化（２，４，４－トリメチルペンテン）
JP-PRTR-C1-510	りん酸ジメチル＝二・二―ジクロロビニル（別名ジクロルボス又はＤＤＶＰ）	りん酸ジメチル＝２，２－ジクロロビニル（別名ジクロルボス又はＤＤＶＰ）
JP-PRTR-C1-511	りん酸トリス（二―エチルヘキシル）	りん酸トリス（２－エチルヘキシル）
JP-PRTR-C1-512	りん酸トリス（二―クロロエチル）	りん酸トリス（２－クロロエチル）
JP-PRTR-C2-1	アクリル酸二―ヒドロキシエチル	アクリル酸２－ヒドロキシエチル
JP-PRTR-C2-2	アクリル酸二―ヒドロキシプロピル	アクリル酸２－ヒドロキシプロピル
JP-PRTR-C2-3	一―アミノ―九・一〇―アントラキノン	１－アミノ－９，１０－アントラキノン
JP-PRTR-C2-4	二―アミノ―三―クロロ―一・四―ナフトキノン（別名ＡＣＮ）	２－アミノ－３－クロロ－１，４－ナフトキノン（別名ＡＣＮ）
JP-PRTR-C2-5	イソプロピルアンモニウム＝（ＲＳ）―二―（四―イソプロピル―四―メチル―五―オキソ―二―イミダゾリン―二―イル）ニコチナート（別名イマザピル又はイマザピルイソプロピルアミン塩）	イソプロピルアンモニウム＝（ＲＳ）－２－（４－イソプロピル－４－メチル－５－オキソ－２－イミダゾリン－２－イル）ニコチナート（別名イマザピル又はイマザピルイソプロピルアミン塩）
JP-PRTR-C2-6	二―イミダゾリジンチオン	２－イミダゾリジンチオン
JP-PRTR-C2-7	一・一′―［イミノジ（オクタメチレン）］ジグアニジン（別名イミノクタジン）	１，１’－［イミノジ（オクタメチレン）］ジグアニジン（別名イミノクタジン）
JP-PRTR-C2-9	六―エトキシ―一・二―ジヒドロ―二・二・四―トリメチルキノリン（別名エトキシキン）	６－エトキシ－１，２－ジヒドロ－２，２，４－トリメチルキノリン（別名エトキシキン）
JP-PRTR-C2-10	一・二―エポキシ―三―（トリルオキシ）プロパン	１，２－エポキシ－３－（トリルオキシ）プロパン
JP-PRTR-C2-11	二・三―エポキシ―一―プロパノール	２，３－エポキシ－１－プロパノール
JP-PRTR-C2-12	エマメクチン安息香酸塩（別名エマメクチンＢ一ａ安息香酸塩及びエマメクチンＢ一ｂ安息香酸塩の混合物）	エマメクチン安息香酸塩（別名エマメクチンＢ１ａ安息香酸塩及びエマメクチンＢ１ｂ安息香酸塩の混合物）
JP-PRTR-C2-15	オクタン―一―チオール	オクタン－１－チオール
JP-PRTR-C2-16	（二―クロロエチル）トリメチルアンモニウム＝クロリド	（２－クロロエチル）トリメチルアンモニウム＝クロリド
JP-PRTR-C2-18	（ＲＳ）―一―［三―クロロ―四―（一・一・二―トリフルオロ―二―トリフルオロメトキシエトキシ）フェニル］―三―（二・六―ジフルオロベンゾイル）尿素（別名ノバルロン）	（ＲＳ）－１－［３－クロロ－４－（１，１，２－トリフルオロ－２－トリフルオロメトキシエトキシ）フェニル］－３－（２，６－ジフルオロベンゾイル）尿素（別名ノバルロン）
JP-PRTR-C2-19	一―［四―［二―クロロ―四―（トリフルオロメチル）フェノキシ］―二―フルオロフェニル］―三―（二・六―ジフルオロベンゾイル）尿素（別名フルフェノクスロン）	１－［４－［２－クロロ－４－（トリフルオロメチル）フェノキシ］－２－フルオロフェニル］－３－（２，６－ジフルオロベンゾイル）尿素（別名フルフェノクスロン）
JP-PRTR-C2-20	オルト―クロロトルエン	オルト－クロロトルエン
JP-PRTR-C2-21	パラ―クロロトルエン	パラ－クロロトルエン
JP-PRTR-C2-22	（Ｅ）―Ｎ―［（六―クロロ―三―ピリジル）メチル］―Ｎ―エチル―Ｎ′―メチル―二―ニトロエテン―一・一―ジアミン（別名ニテンピラム）	（Ｅ）－Ｎ－［（６－クロロ－３－ピリジル）メチル］－Ｎ－エチル－Ｎ’－メチル－２－ニトロエテン－１，１－ジアミン（別名ニテンピラム）
JP-PRTR-C2-23	（ＲＳ）―二―［二―（三―クロロフェニル）―二・三―エポキシプロピル］―二―エチルインダン―一・三―ジオン（別名インダノファン）	（ＲＳ）－２－［２－（３－クロロフェニル）－２．３－エポキシプロピル］－２－エチルインダン－１，３－ジオン（別名インダノファン）
JP-PRTR-C2-24	（四ＲＳ・五ＲＳ）―五―（四―クロロフェニル）―Ｎ―シクロヘキシル―四―メチル―二―オキソ―一・三―チアゾリジン―三―カルボキサミド（別名ヘキシチアゾクス）	（４ＲＳ，５ＲＳ）－５－（４－クロロフェニル）－Ｎ－シクロヘキシル－４－メチル－２－オキソ－１，３－チアゾリジン－３－カルボキサミド（別名ヘキシチアゾクス）
JP-PRTR-C2-25	Ｎ―（四―クロロフェニル）―一―シクロヘキセン―一・二―ジカルボキシミド（別名クロルフタリム）	Ｎ－（４－クロロフェニル）－１－シクロヘキセン－１，２－ジカルボキシミド（別名クロルフタリム）
JP-PRTR-C2-26	一―（四―クロロフェニル）―三―（二・六―ジフルオロベンゾイル）尿素（別名ジフルベンズロン）	１－（４－クロロフェニル）－３－（２，６－ジフルオロベンゾイル）尿素（別名ジフルベンズロン）
JP-PRTR-C2-27	四―［三―（四―クロロフェニル）―三―（三・四―ジメトキシフェニル）アクリロイル］モルホリン（別名ジメトモルフ）	４－［３－（４－クロロフェニル）－３－（３，４－ジメトキシフェニル）アクリロイル］モルホリン（別名ジメトモルフ）
JP-PRTR-C2-28	二―（四―クロロフェニル）―二―（一Ｈ―一・二・四―トリアゾール―一―イルメチル）ヘキサンニトリル（別名ミクロブタニル）	２－（４－クロロフェニル）－２－（１Ｈ－１，２，４－トリアゾール－１－イルメチル）ヘキサンニトリル（別名ミクロブタニル）
JP-PRTR-C2-29	四―クロロフェニル＝二・四・五―トリクロロフェニル＝スルホン（別名テトラジホン）	４－クロロフェニル＝２，４，５－トリクロロフェニル＝スルホン（別名テトラジホン）
JP-PRTR-C2-30	（ＲＳ）―四―（四―クロロフェニル）―二―フェニル―二―（一Ｈ―一・二・四―トリアゾール―一―イルメチル）ブチロニトリル（別名フェンブコナゾール）	（ＲＳ）－４－（４－クロロフェニル）－２－フェニル－２－（１Ｈ－１，２，４－トリアゾール－１－イルメチル）ブチロニトリル（別名フェンブコナゾール）
JP-PRTR-C2-31	［二―［三―（四―クロロフェニル）プロピル］―二・四・四―トリメチル―一・三―オキサゾリジン―三―イル］（一Ｈ―イミダゾール―一―イル）メタノン	［２－［３－（４－クロロフェニル）プロピル］－２，４，４－トリメチル－１，３－オキサゾリジン－３－イル］（１Ｈ－イミダゾール－１－イル）メタノン
JP-PRTR-C2-32	三―クロロ―一・二―プロパンジオール	３－クロロ－１，２－プロパンジオール
JP-PRTR-C2-33	三―クロロ―二―メチル―一―プロペン	３－クロロ－２－メチル－１－プロペン
JP-PRTR-C2-34	（五―クロロ―二―メトキシ―四―メチルピリジン―三―イル）（二・三・四―トリメトキシ―六―メチルフェニル）メタノン（別名ピリオフェノン）	（５－クロロ－２－メトキシ－４－メチルピリジン－３－イル）（２，３，４－トリメトキシ－６－メチルフェニル）メタノン（別名ピリオフェノン）
JP-PRTR-C2-37	（ＲＳ）―二―シアノ―Ｎ―［（Ｒ）―一―（二・四―ジクロロフェニル）エチル］―三・三―ジメチルブチラミド（別名ジクロシメット）	（ＲＳ）－２－シアノ－Ｎ－［（Ｒ）－１－（２，４－ジクロロフェニル）エチル］－３，３－ジメチルブチラミド（別名ジクロシメット）
JP-PRTR-C2-38	（ＲＳ）―アルファ―シアノ―三―フェノキシベンジル＝Ｎ―（二―クロロ―アルファ・アルファ・アルファ―トリフルオロ―パラ―トリル）―Ｄ―バリナート（別名フルバリネート）	（ＲＳ）－アルファ－シアノ－３－フェノキシベンジル＝Ｎ－（２－クロロ－アルファ・アルファ・アルファ－トリフルオロ－パラ－トリル）－Ｄ－バリナート（別名フルバリネート）
JP-PRTR-C2-39	アルファ―シアノ―三―フェノキシベンジル＝三―（二・二―ジクロロビニル）―二・二―ジメチルシクロプロパンカルボキシラート（別名シペルメトリン）	アルファ－シアノ－３－フェノキシベンジル＝３－（２，２－ジクロロビニル）－２，２－ジメチルシクロプロパンカルボキシラート（別名シペルメトリン）
JP-PRTR-C2-40	（Ｓ）―アルファ―シアノ―三―フェノキシベンジル＝（一Ｒ・三Ｓ）―二・二―ジメチル―三―（一・二・二・二―テトラブロモエチル）シクロプロパンカルボキシラート（別名トラロメトリン）	（Ｓ）－アルファ－シアノ－３－フェノキシベンジル＝（１Ｒ，３Ｓ）－２，２－ジメチル－３－（１，２，２，２－テトラブロモエチル）シクロプロパンカルボキシラート（別名トラロメトリン）
JP-PRTR-C2-41	（ＲＳ）―アルファ―シアノ―三―フェノキシベンジル＝二・二・三・三―テトラメチルシクロプロパンカルボキシラート（別名フェンプロパトリン）	（ＲＳ）－アルファ－シアノ－３－フェノキシベンジル＝２，２，３，３－テトラメチルシクロプロパンカルボキシラート（別名フェンプロパトリン）
JP-PRTR-C2-42	アルファ―シアノ―四―フルオロ―三―フェノキシベンジル＝三―（二・二―ジクロロビニル）―二・二―ジメチルシクロプロパンカルボキシラート（別名シフルトリン）	アルファ－シアノ－４－フルオロ－３－フェノキシベンジル＝３－（２，２－ジクロロビニル）－２，２－ジメチルシクロプロパンカルボキシラート（別名シフルトリン）
JP-PRTR-C2-43	一―［二―（シクロプロピルカルボニル）アニリノスルホニル］―三―（四・六―ジメトキシピリミジン―二―イル）尿素（別名シクロスルファムロン）	１－［２－（シクロプロピルカルボニル）アニリノスルホニル］－３－（４，６－ジメトキシピリミジン－２－イル）尿素（別名シクロスルファムロン）
JP-PRTR-C2-44	四―シクロプロピル―六―メチル―Ｎ―フェニルピリミジン―二―アミン（別名シプロジニル）	４－シクロプロピル－６－メチル－Ｎ－フェニルピリミジン－２－アミン（別名シプロジニル）
JP-PRTR-C2-45	Ｎ―（シクロヘキシルチオ）フタルイミド	Ｎ－（シクロヘキシルチオ）フタルイミド
JP-PRTR-C2-46	一―（三・五―ジクロロ―二・四―ジフルオロフェニル）―三―（二・六―ジフルオロベンゾイル）尿素（別名テフルベンズロン）	１－（３，５－ジクロロ－２，４－ジフルオロフェニル）－３－（２，６－ジフルオロベンゾイル）尿素（別名テフルベンズロン）
JP-PRTR-C2-47	一・三―ジクロロ―五・五―ジメチルイミダゾリジン―二・四―ジオン	１，３－ジクロロ－５，５－ジメチルイミダゾリジン－２，４－ジオン
JP-PRTR-C2-48	Ｎ―（二・三―ジクロロ―四―ヒドロキシフェニル）―一―メチルシクロヘキサンカルボキサミド（別名フェンヘキサミド）	Ｎ－（２，３－ジクロロ－４－ヒドロキシフェニル）－１－メチルシクロヘキサンカルボキサミド（別名フェンヘキサミド）
JP-PRTR-C2-49	（ＲＳ）―二―（二・四―ジクロロフェニル）―三―（一Ｈ―一・二・四―トリアゾール―一―イル）プロピル＝一・一・二・二―テトラフルオロエチル＝エーテル（別名テトラコナゾール）	（ＲＳ）－２－（２，４－ジクロロフェニル）－３－（１Ｈ－１，２，４－トリアゾール－１－イル）プロピル＝１，１，２，２－テトラフルオロエチル＝エーテル（別名テトラコナゾール）
JP-PRTR-C2-50	（ＲＳ）―一―［二・五―ジクロロ―四―（一・一・二・三・三・三―ヘキサフルオロプロポキシ）フェニル］―三―（二・六―ジフルオロベンゾイル）尿素（別名ルフェヌロン）	（ＲＳ）－１－［２．５－ジクロロ－４－（１，１，２，３，３，３－ヘキサフルオロプロポキシ）フェニル］－３－（２，６－ジフルオロベンゾイル）尿素（別名ルフェヌロン）
JP-PRTR-C2-51	Ｎ・Ｎ―ジシクロヘキシル―二―ベンゾチアゾールスルフェンアミド	Ｎ，Ｎ－ジシクロヘキシル－２－ベンゾチアゾールスルフェンアミド
JP-PRTR-C2-52	ジチオりん酸Ｏ・Ｏ―ジエチル―Ｓ―（二―エチルチオエチル）（別名エチルチオメトン又はジスルホトン）	ジチオりん酸Ｏ，Ｏ－ジエチル－Ｓ－（２－エチルチオエチル）（別名エチルチオメトン又はジスルホトン）
JP-PRTR-C2-53	ジナトリウム＝四―アミノ―三―［四′―（二・四―ジアミノフェニルアゾ）―一・一′―ビフェニル―四―イルアゾ］―五―ヒドロキシ―六―フェニルアゾ―二・七―ナフタレンジスルホナート（別名ＣＩダイレクトブラック三十八）	ジナトリウム＝４－アミノ－３－［４’－（２，４－ジアミノフェニルアゾ）－１．１’－ビフェニル－４－イルアゾ］－５－ヒドロキシ－６－フェニルアゾ－２，７－ナフタレンジスルホナート（別名ＣＩダイレクトブラック３８）
JP-PRTR-C2-54	［三―（四・五―ジヒドロイソオキサゾール―三―イル）―四―メシル―二―メチルフェニル］（五―ヒドロキシ―一―メチルピラゾール―四―イル）メタノン	［３－（４，５－ジヒドロイソオキサゾール－３－イル）－４－メシル－２－メチルフェニル］（５－ヒドロキシ－１－メチルピラゾール－４－イル）メタノン
JP-PRTR-C2-56	一・三―ジフェニルグアニジン	１，３－ジフェニルグアニジン
JP-PRTR-C2-57	二′・四′―ジフルオロ―二―（三―トリフルオロメチルフェノキシ）ニコチンアニリド	２’・４’－ジフルオロ－２－（３－トリフルオロメチルフェノキシ）ニコチンアニリド
JP-PRTR-C2-58	Ｎ・Ｎ―ジメチルアニリン	Ｎ，Ｎ－ジメチルアニリン
JP-PRTR-C2-59	三・七―ジメチルオクタ―一・六―ジエン―三―イル＝アセタート（別名酢酸リナリル）	３，７－ジメチルオクタ－１，６－ジエン－３－イル＝アセタート（別名酢酸リナリル）
JP-PRTR-C2-60	（Ｅ）―三・七―ジメチルオクタ―二・六―ジエン―一―オール（別名ゲラニオール）	（Ｅ）－３，７－ジメチルオクタ－２，６－ジエン－１－オール（別名ゲラニオール）
JP-PRTR-C2-61	Ｓ・Ｓ′―ジメチル＝二―ジフルオロメチル―四―イソブチル―六―トリフルオロメチルピリジン―三・五―ジカルボチオアート（別名ジチオピル）	Ｓ，Ｓ’－ジメチル＝２－ジフルオロメチル－４－イソブチル－６－トリフルオロメチルピリジン－３，５－ジカルボチオアート（別名ジチオピル）
JP-PRTR-C2-62	Ｎ・Ｎ―ジメチルテトラデカン―一―アミン	Ｎ，Ｎ－ジメチルテトラデカン－１－アミン
JP-PRTR-C2-63	（ＲＳ）―Ｎ―［二―（三・五―ジメチルフェノキシ）―一―メチルエチル］―六―（一―フルオロ―一―メチルエチル）―一・三・五―トリアジン―二・四―ジアミン（別名トリアジフラム）	（ＲＳ）－Ｎ－［２－（３，５－ジメチルフェノキシ）－１－メチルエチル］－６－（１－フルオロ－１－メチルエチル）－１，３，５－トリアジン－２，４－ジアミン（別名トリアジフラム）
JP-PRTR-C2-64	二・二―ジメチルブタン酸＝三―（二・四―ジクロロフェニル）―二―オキソ―一―オキサスピロ［四・五］デカ―三―エン―四―イル（別名スピロジクロフェン）	２，２－ジメチルブタン酸＝３－（２，４－ジクロロフェニル）－２－オキソ－１－オキサスピロ［４．５］デカ－３－エン－４－イル（別名スピロジクロフェン）
JP-PRTR-C2-67	チオりん酸Ｏ―四―ブロモ―二―クロロフェニル―Ｏ―エチル―Ｓ―プロピル（別名プロフェノホス）	チオりん酸Ｏ－４－ブロモ－２－クロロフェニル－Ｏ－エチル－Ｓ－プロピル（別名プロフェノホス）
JP-PRTR-C2-69	三・六・九―トリアザウンデカン―一・一一―ジアミン（別名テトラエチレンペンタミン）	３，６，９－トリアザウンデカン－１，１１－ジアミン（別名テトラエチレンペンタミン）
JP-PRTR-C2-71	一・三・五―トリス（二・三―エポキシプロピル）―一・三・五―トリアジン―二・四・六（一Ｈ・三Ｈ・五Ｈ）―トリオン	１，３，５－トリス（２，３－エポキシプロピル）－１，３，５－トリアジン－２，４，６（１Ｈ，３Ｈ，５Ｈ）－トリオン
JP-PRTR-C2-72	一・三・五―トリス［三―（ジメチルアミノ）プロピル］ヘキサヒドロ―一・三・五―トリアジン	１，３，５－トリス［３－（ジメチルアミノ）プロピル］ヘキサヒドロ－１，３，５－トリアジン
JP-PRTR-C2-73	二・四・六―トリニトロトルエン	２，４，６－トリニトロトルエン
JP-PRTR-C2-74	二・四・六―トリブロモフェノール	２，４，６－トリブロモフェノール
JP-PRTR-C2-75	（一Ｒ・二Ｒ・四Ｒ）―一・七・七―トリメチルビシクロ［二・二・一］ヘプタン―二―イル＝アセタート及び（一Ｓ・二Ｓ・四Ｓ）―一・七・七―トリメチルビシクロ［二・二・一］ヘプタン―二―イル＝アセタートの混合物（別名イソボルニル＝アセテート）	（１Ｒ，２Ｒ，４Ｒ）－１，７，７－トリメチルビシクロ［２．２．１］ヘプタン－２－イル＝アセタート及び（１Ｓ，２Ｓ，４Ｓ）－１，７，７－トリメチルビシクロ［２．２．１］ヘプタン－２－イル＝アセタートの混合物（別名イソボルニル＝アセテート）
JP-PRTR-C2-76	三・五・五―トリメチル―一―ヘキサノール	３，５，５－トリメチル－１－ヘキサノール
JP-PRTR-C2-80	オルト―ニトロトルエン	オルト－ニトロトルエン
JP-PRTR-C2-82	二・二―ビス（ブロモメチル）プロパン―一・三―ジオール（別名ジブロモネオペンチルグリコール）	２，２－ビス（ブロモメチル）プロパン－１，３－ジオール（別名ジブロモネオペンチルグリコール）
JP-PRTR-C2-83	ビス（一―メチル―一―フェニルエチル）＝ペルオキシド	ビス（１－メチル－１－フェニルエチル）＝ペルオキシド
JP-PRTR-C2-85	四―ヒドロキシ安息香酸プロピル（別名パラオキシ安息香酸プロピル）	４－ヒドロキシ安息香酸プロピル（別名パラオキシ安息香酸プロピル）
JP-PRTR-C2-86	二―ヒドロキシ安息香酸（Ｚ）―三―ヘキセニル	２－ヒドロキシ安息香酸（Ｚ）－３－ヘキセニル
JP-PRTR-C2-87	四―ヒドロキシ安息香酸メチル	４－ヒドロキシ安息香酸メチル
JP-PRTR-C2-88	二―ビニルピリジン	２－ビニルピリジン
JP-PRTR-C2-89	二―フェノキシエチル＝イソブチレート	２－フェノキシエチル＝イソブチレート
JP-PRTR-C2-91	ブタ―二―イン―一・四―ジオール	ブタ－２－イン－１，４－ジオール
JP-PRTR-C2-96	Ｎ―ブチル―Ｎ―エチル―アルファ・アルファ・アルファ―トリフルオロ―二・六―ジニトロ―パラ―トルイジン（別名ベスロジン又はベンフルラリン）	Ｎ－ブチル－Ｎ－エチル－アルファ・アルファ・アルファ－トリフルオロ－２，６－ジニトロ－パラ－トルイジン（別名ベスロジン又はベンフルラリン）
JP-PRTR-C2-97	ブチル―二・三―エポキシプロピルエーテル	ブチル－２，３－エポキシプロピルエーテル
JP-PRTR-C2-98	三―（五―ターシャリ―ブチル―一・二―オキサゾール―三―イル）―一・一―ジメチル尿素（別名イソウロン）	３－（５－ターシャリ－ブチル－１，２－オキサゾール－３－イル）－１，１－ジメチル尿素（別名イソウロン）
JP-PRTR-C2-99	Ｎ―ブチルカルバミド酸＝三―ヨード―二―プロピニル	Ｎ－ブチルカルバミド酸＝３－ヨード－２－プロピニル
JP-PRTR-C2-100	三―ターシャリ―ブチル―五―クロロ―六―メチルウラシル（別名ターバシル）	３－ターシャリ－ブチル－５－クロロ－６－メチルウラシル（別名ターバシル）
JP-PRTR-C2-101	五―ターシャリ―ブチル―三―［二・四―ジクロロ―五―（プロパ―二―イン―一―イルオキシ）フェニル］―一・三・四―オキサジアゾール―二（三Ｈ）―オン（別名オキサジアルギル）	５－ターシャリ－ブチル－３－［２．４－ジクロロ－５－（プロパ－２－イン－１－イルオキシ）フェニル］－１，３，４－オキサジアゾール－２（３Ｈ）－オン（別名オキサジアルギル）
JP-PRTR-C2-102	一―（四―ターシャリ―ブチル―二・六―ジメチル―三・五―ジニトロフェニル）エタノン	１－（４－ターシャリ－ブチル－２，６－ジメチル－３，５－ジニトロフェニル）エタノン
JP-PRTR-C2-103	ターシャリ―ブチル＝四―［［［（一・三―ジメチル―五―フェノキシ―四―ピラゾリル）メチリデン］アミノオキシ］メチル］ベンゾアート（別名フェンピロキシメート）	ターシャリ－ブチル＝４－［［［（１，３－ジメチル－５－フェノキシ－４－ピラゾリル）メチリデン］アミノオキシ］メチル］ベンゾアート（別名フェンピロキシメート）
JP-PRTR-C2-104	一―ターシャリ―ブチル―一―（三・五―ジメチルベンゾイル）―二―（三―メトキシ―二―メチルベンゾイル）ヒドラジン（別名メトキシフェノジド）	１－ターシャリ－ブチル－１－（３，５－ジメチルベンゾイル）－２－（３－メトキシ－２－メチルベンゾイル）ヒドラジン（別名メトキシフェノジド）
JP-PRTR-C2-105	ターシャリ―ブチル＝ヒドロペルオキシド	ターシャリ－ブチル＝ヒドロペルオキシド
JP-PRTR-C2-106	四―ターシャリ―ブチルフェノール	４－ターシャリ－ブチルフェノール
JP-PRTR-C2-107	二―ターシャリ―ブチル―五―（四―ターシャリ―ブチルベンジルチオ）―四―クロロ―三（二Ｈ）―ピリダジノン（別名ピリダベン）	２－ターシャリ－ブチル－５－（４－ターシャリ－ブチルベンジルチオ）－４－クロロ－３（２Ｈ）－ピリダジノン（別名ピリダベン）
JP-PRTR-C2-108	Ｎ―（四―ターシャリ―ブチルベンジル）―四―クロロ―三―エチル―一―メチルピラゾール―五―カルボキサミド（別名テブフェンピラド）	Ｎ－（４－ターシャリ－ブチルベンジル）－４－クロロ－３－エチル－１－メチルピラゾール－５－カルボキサミド（別名テブフェンピラド）
JP-PRTR-C2-109	Ｎ―（ターシャリ―ブチル）―二―ベンゾチアゾールスルフェンアミド	Ｎ－（ターシャリ－ブチル）－２－ベンゾチアゾールスルフェンアミド
JP-PRTR-C2-111	四′―フルオロ―Ｎ―イソプロピル―二―（五―トリフルオロメチル―一・三・四―チアジアゾール―二―イルオキシ）アセトアニリド（別名フルフェナセット）	４’－フルオロ－Ｎ－イソプロピル－２－（５－トリフルオロメチル－１，３，４－チアジアゾール－２－イルオキシ）アセトアニリド（別名フルフェナセット）
JP-PRTR-C2-112	五―プロパン―一―イル―六―（二・五・八―トリオキサドデカン―一―イル）―一・三―ベンゾジオキソール（別名ピペロニルブトキシド）	５－プロパン－１－イル－６－（２，５，８－トリオキサドデカン－１－イル）－１，３－ベンゾジオキソール（別名ピペロニルブトキシド）
JP-PRTR-C2-113	三―ブロモ―一―（三―クロロピリジン―二―イル）―Ｎ―［四―シアノ―二―メチル―六―（メチルカルバモイル）フェニル］―一Ｈ―ピラゾール―五―カルボキサミド（別名シアントラニリプロール）	３－ブロモ－１－（３－クロロピリジン－２－イル）－Ｎ－［４－シアノ－２－メチル－６－（メチルカルバモイル）フェニル］－１Ｈ－ピラゾール－５－カルボキサミド（別名シアントラニリプロール）
JP-PRTR-C2-116	二―ベンジリデンヘプタナール	２－ベンジリデンヘプタナール
JP-PRTR-C2-117	ベンゼン―一・二・四・五―テトラカルボン酸	ベンゼン－１，２，４，５－テトラカルボン酸
JP-PRTR-C2-120	メタクリル酸二・三―エポキシプロピル	メタクリル酸２，３－エポキシプロピル
JP-PRTR-C2-122	メチル＝三―クロロ―五―（四・六―ジメトキシ―二―ピリミジニルカルバモイルスルファモイル）―一―メチルピラゾール―四―カルボキシラート（別名ハロスルフロンメチル）	メチル＝３－クロロ－５－（４，６－ジメトキシ－２－ピリミジニルカルバモイルスルファモイル）－１－メチルピラゾール－４－カルボキシラート（別名ハロスルフロンメチル）
JP-PRTR-C2-123	三―メチル―一・五―ジ（二・四―キシリル）―一・三・五―トリアザペンタ―一・四―ジエン（別名アミトラズ）	３－メチル－１，５－ジ（２，４－キシリル）－１，３，５－トリアザペンタ－１，４－ジエン（別名アミトラズ）
JP-PRTR-C2-124	二―（四―メチルシクロヘキサ―三―エン―一―イル）プロパン―二―イル＝アセタート（別名酢酸テルピニル）	２－（４－メチルシクロヘキサ－３－エン－１－イル）プロパン－２－イル＝アセタート（別名酢酸テルピニル）
JP-PRTR-C2-125	六―メチル―一・三―ジチオロ［四・五―ｂ］キノキサリン―二―オン	６－メチル－１，３－ジチオロ［４，５－ｂ］キノキサリン－２－オン
JP-PRTR-C2-126	四―メチル―二・四―ジフェニルペンタ―一―エン	４－メチル－２，４－ジフェニルペンタ－１－エン
JP-PRTR-C2-127	メチル―Ｎ′・Ｎ′―ジメチル―Ｎ―［（メチルカルバモイル）オキシ］―一―チオオキサムイミデート（別名オキサミル）	メチル－Ｎ’・Ｎ’－ジメチル－Ｎ－［（メチルカルバモイル）オキシ］－１－チオオキサムイミデート（別名オキサミル）
JP-PRTR-C2-128	二―メチル―Ｎ―［四―ニトロ―三―（トリフルオロメチル）フェニル］プロパンアミド（別名フルタミド）	２－メチル－Ｎ－［４－ニトロ－３－（トリフルオロメチル）フェニル］プロパンアミド（別名フルタミド）
JP-PRTR-C2-129	一―メチル―一―フェニルエチル＝ヒドロペルオキシド	１－メチル－１－フェニルエチル＝ヒドロペルオキシド
JP-PRTR-C2-130	七―メチル―三―メチレンオクタ―一・六―ジエン（別名ミルセン）	７－メチル－３－メチレンオクタ－１，６－ジエン（別名ミルセン）
JP-PRTR-C2-131	二―メルカプトエタノール	２－メルカプトエタノール
JP-PRTR-C2-132	二―メルカプトベンゾチアゾール	２－メルカプトベンゾチアゾール
JP-PDSCA-TOX-L-11	二・四―ジニトロ―六―（一―メチルプロピル）―フエノール	２，４－ジニトロ－６－（１－メチルプロピル）－フエノール
JP-PDSCA-TOX-L-13	ジメチル―（ジエチルアミド―一―クロルクロトニル）―ホスフエイト	ジメチル－（ジエチルアミド－１－クロルクロトニル）－ホスフエイト
JP-PDSCA-DEL-L-5	二―イソプロピル―四―メチルピリミジル―六―ジエチルチオホスフエイト（別名ダイアジノン）	２－イソプロピル－４－メチルピリミジル－６－ジエチルチオホスフエイト（別名ダイアジノン）
JP-PDSCA-DEL-L-6	エチル―Ｎ―（ジエチルジチオホスホリールアセチル）―Ｎ―メチルカルバメート	エチル－Ｎ－（ジエチルジチオホスホリールアセチル）－Ｎ－メチルカルバメート
JP-PDSCA-DEL-L-23	ジエチル―四―クロルフエニルメルカプトメチルジチオホスフエイト	ジエチル－４－クロルフエニルメルカプトメチルジチオホスフエイト
JP-PDSCA-DEL-L-24	ジエチル―（二・四―ジクロルフエニル）―チオホスフエイト	ジエチル－（２，４－ジクロルフエニル）－チオホスフエイト
