100-00-5	ｐ－ニトロクロロベンゼン
598-78-7	２－クロロプロピオン酸
60-34-4	メチルヒドラジン
60145-20-2	２，２’，３，３’，５－ペンタクロロビフェニル
60145-21-3	２，２’，４，５’，６－ペンタクロロビフェニル
60145-22-4	２，２’，４，４’，５，６’－ヘキサクロロビフェニル
60145-23-5	２，２’，３，４，４’，５，６’－ヘプタクロロビフェニル
602-01-7	２，３－ジニトロトルエン
60207-90-1	１－｛［２－（２，４－ジクロロフェニル）－４－プロパン－１－イル－１，３－ジオキソラン－２－イル］メチル｝－１Ｈ－１，２，４－トリアゾール
60233-24-1	２，３’，４，６－テトラクロロビフェニル
60233-25-2	２，２’，３，４’，６’－ペンタクロロビフェニル
606-20-2	２，６－ジニトロトルエン
60684-13-1	三塩化鉄一水和物
6080-56-4	酢酸鉛（ＩＩ）・三水和物
61-82-5	１Ｈ－１，２，４－トリアゾール－５－イルアミン
610-39-9	３，４－ジニトロトルエン
611-06-3	２，４－ジクロロ－１－ニトロベンゼン
612-83-9	Ｎ，Ｎ’－（３，３’－ジクロロビフェニル－４，４’－ジイル）ジアンモニウム＝ジクロリド
614-90-4	１，４－ジイソシアナト－２－メチルベンゼン
6147-53-1	酢酸コバルト（ＩＩ）・四水和物
615-05-4	４－メトキシ－１，３－フェニレンジアミン
6152-33-6	ナトリウム＝ビフェニル－２－オラート四水和物
6153-64-6	（４Ｓ，４ａＲ，５Ｓ，５ａＲ，６Ｓ，１２ａＳ）－４－（ジメチルアミノ）－３，５，６，１０，１２，１２ａ－ヘキサヒドロキシ－６－メチル－１，１１－ジオキソ－１，４，４ａ，５，５ａ，６，１１，１２ａ－オクタヒドロテトラセン－２－カルボキサミド二水和物
61788-46-3	ココ－アルキルアミン
61789-40-0	（３－アミノプロピル）（カルボキシメチル）（ジメチル）アンモニウムのＮ－ココ－アシル誘導体（分子内塩）
61789-71-7	ベンジル（ココ－アルキル）（ジメチル）アンモニウム＝クロリド
61789-80-8	ビス（水素化牛脂）ジメチルアンモニウムクロリド
61791-26-2	獣脂アルキルアミンのエトキシ化物
61798-70-7	２，２’，３，３’，４，６－ヘキサクロロビフェニル
618-85-9	３，５－ジニトロトルエン
619-15-8	２，５－ジニトロトルエン
62-38-4	（アセタト－κＯ）（フェニル）水銀
62-53-3	アニリン
62-56-6	チオ尿素
62-73-7	リン酸ジメチル＝２，２－ジクロロビニル
62138-52-7	２－クロロプロピオン酸
624-92-0	１，２－ジメチルジスルファン
62461-62-5	２，４，４’（又は３，４，４’）－トリクロロビフェニル
6259-76-3	ヘキシル＝２－ヒドロキシベンゾアート
627-44-1	ジエチル水銀
62796-65-0	２，２’，４，６－テトラクロロビフェニル
628-86-4	ビス［（オキシド－λ（５）－アザニリジン）メチル］水銀
63-25-2	Ｎ－メチルカルバミン酸１－ナフチル
631-60-7	酢酸水銀（Ｉ）
63449-41-2	アルキル（Ｃ＝８～１８）（ベンジル）（ジメチル）アンモニウム＝クロリド
6362-80-7	４－メチル－２，４－ジフェニルペンタ－１－エン
6385-62-2	１，１’－エチレン－２，２’－ビピリジニウム＝ジブロミド・一水和物
64-67-5	ジエチル＝スルファート
64333-00-2	三塩化鉄水和物（２：７）
64359-81-5	４，５－ジクロロ－２－ｎ－オクチルイソチアゾル－３－オン
64440-88-6	μ－（Ｎ，Ｎ’－エチレンジカルバモジチオアト－１κ（２）Ｓ：２κ（２）Ｓ）ビス［（Ｎ，Ｎ－ジメチルカルバモジチオアト－κ（２）Ｓ）亜鉛（ＩＩ）］
6449-00-9	炭酸クロム（ＩＩＩ）
646-06-0	１，３－ジオキソラン
65510-44-3	２，３’，４，４’，５’－ペンタクロロビフェニル
65510-45-4	２，２’，３，４，４’－ペンタクロロビフェニル
66104-24-3	Beryllium (Beryllium carbonate (basic))
66230-04-4	（Ｓ）－シアノ（３－フェノキシフェニル）メチル＝（Ｓ）－２－（４－クロロフェニル）－３－メチルブタノアート
67-66-3	クロロホルム
67-72-1	ペルクロロエタン
674-82-8	４－メチリデンオキセタン－２－オン
6780-13-8	エタン－１，２－ジアミン一水和物
67843-74-7	（２Ｓ）－２－（クロロメチル）オキシラン
68-12-2	Ｎ，Ｎ－ジメチルホルムアミド
68037-91-2	アルキルアミン（Ｃ＝１４～１８）
68131-39-5	アルコール（Ｃ＝１２～１５）エトキシ化物
68194-04-7	２，２’，４，６’－テトラクロロビフェニル
68194-05-8	２，２’，３，４’，６－ペンタクロロビフェニル
68194-06-9	２，２’，４，５，６’－ペンタクロロビフェニル
68194-07-0	２，２’，３，４’，５－ペンタクロロビフェニル
68194-08-1	２，２’，３，４’，６，６’－ヘキサクロロビフェニル
68194-09-2	２，２’，３，５，６，６’－ヘキサクロロビフェニル
68194-10-5	２，３，３’，５’，６－ペンタクロロビフェニル
68194-11-6	２，３，４’，５，６－ペンタクロロビフェニル
68194-12-7	２，３’，４，５，５’－ペンタクロロビフェニル
68194-13-8	２，２’，３，４’，５，６－ヘキサクロロビフェニル
68194-14-9	２，２’，３，４，５’，６－ヘキサクロロビフェニル
68194-15-0	２，２’，３，４，５，６’－ヘキサクロロビフェニル
68194-16-1	２，２’，３，３’，４，５，６－ヘプタクロロビフェニル
68194-17-2	２，２’，３，３’，４，５，５’，６－オクタクロロビフェニル
683-10-3	［ドデカン－１－イル（ジメチル）アンモニオ］アセタート
683-18-1	ジブタン－１－イル（ジクロロ）スタンナン
68391-01-5	アルキル（Ｃ＝１２～１８）（ベンジル）（ジメチル）アンモニウム＝クロリド
68411-78-9	Lead oxide (PbO), lead-contg.
68424-85-1	アルキル（Ｃ＝１２～１６）（ベンジル）（ジメチル）アンモニウム＝クロリド
6864-37-5	２，２’－ジメチル－４，４’－メチレンビス（シクロヘキサン－１－イルアミン）
688046-61-9	（５－クロロ－２－メトキシ－４－メチルピリジン－３－イル）（２，３，４－トリメトキシ－６－メチルフェニル）メタノン
69011-60-5	Lead alloy, base, Pb,Sn, dross
69782-90-7	２，３，３’，４，４’，５’－ヘキサクロロビフェニル
69782-91-8	２，３，３’，４’，５，５’，６－ヘプタクロロビフェニル
7012-37-5	２，４，４’－トリクロロビフェニル
70362-41-3	２，３，３’，４，５’－ペンタクロロビフェニル
70362-45-7	２，２’，３，６－テトラクロロビフェニル
70362-46-8	２，２’，３，５－テトラクロロビフェニル
70362-47-9	２，２’，４，５－テトラクロロビフェニル
70362-48-0	２，３’，４’，５’－テトラクロロビフェニル
70362-49-1	３，３’，４，５－テトラクロロビフェニル
70362-50-4	３，４，４’，５－テトラクロロビフェニル
70424-67-8	２，３，３’，５－テトラクロロビフェニル
70424-68-9	２，３，３’，４’，５－ペンタクロロビフェニル
70424-69-0	２，３，３’，４，５－ペンタクロロビフェニル
70424-70-3	２，３’，４’，５，５’－ペンタクロロビフェニル
7085-19-0	２－（４－クロロ－２－メチルフェノキシ）プロパン酸
71-43-2	ベンゼン
71-48-7	コバルト（ＩＩ）＝ジアセタート
71-55-6	１，１，１－トリクロロエタン
7173-51-5	ジデシルジメチルアンモニウムクロリド
72-43-5	１，１，１－トリクロロ－２，２－ビス（４－メトキシフェニル）エタン
72016-32-1	ジ－３－トリル＝４－トリル＝ホスファート
72780-86-0	水銀合金（Ｈｇ＝４０－６０，Ｚｎ＝４０－６０）
7281-04-1	ベンジル（ドデシル）（ジメチル）アンモニウム＝ブロミド
73513-17-4	二亜塩素酸水銀
73575-52-7	２，３’，４，５’－テトラクロロビフェニル
73575-53-8	２，３’，４，５－テトラクロロビフェニル
73575-54-9	２，２’，３，６，６’－ペンタクロロビフェニル
73575-55-0	２，２’，３，５，６’－ペンタクロロビフェニル
73575-56-1	２，２’，３，５，６－ペンタクロロビフェニル
73575-57-2	２，２’，３，４，６’－ペンタクロロビフェニル
7373-19-5	１，２－ジイソシアナト－３－メチルベンゼン
74-83-9	ブロモメタン
74-87-3	クロロメタン
74-89-5	メチルアミン
74-90-8	シアン化水素
74182-35-7	塩化亜鉛（ＩＩ）・三水和物
7428-48-0	ステアリン酸鉛（１：？）
74338-23-1	２，３’，５’，６－テトラクロロビフェニル
74338-24-2	２，３，３’，４－テトラクロロビフェニル
7439-92-1	鉛
7439-97-6	水銀
7440-02-0	ニッケル
7440-22-4	銀
7440-28-0	タリウム
7440-41-7	ベリリウム
7440-43-9	カドミウム
7440-47-3	クロム
7446-14-2	硫酸鉛（ＩＩ）
7446-19-7	硫酸亜鉛一水和物
7446-20-0	硫酸亜鉛（ＩＩ）・七水和物
7447-39-4	塩化銅（ＩＩ）
74472-33-6	２，３，３’，６－テトラクロロビフェニル
74472-34-7	２，３，４’，５－テトラクロロビフェニル
74472-35-8	２，３，３’，４，６－ペンタクロロビフェニル
74472-36-9	２，３，３’，５，６－ペンタクロロビフェニル
74472-37-0	２，３，４，４’，５－ペンタクロロビフェニル
74472-38-1	２，３，４，４’，６－ペンタクロロビフェニル
74472-39-2	２，３’，４’，５’，６－ペンタクロロビフェニル
74472-40-5	２，２’，３，４，６，６’－ヘキサクロロビフェニル
74472-41-6	２，２’，３，４’，５，６’－ヘキサクロロビフェニル
74472-42-7	２，３，３’，４，４’，６－ヘキサクロロビフェニル
74472-43-8	２，３，３’，４，５’，６－ヘキサクロロビフェニル
74472-44-9	２，３，３’，４’，５，６－ヘキサクロロビフェニル
74472-45-0	２，３，３’，４’，５’，６－ヘキサクロロビフェニル
74472-46-1	２，３，３’，５，５’，６－ヘキサクロロビフェニル
74472-47-2	２，２’，３，４，４’，５，６－ヘプタクロロビフェニル
74472-48-3	２，２’，３，４，４’，６，６’－ヘプタクロロビフェニル
74472-49-4	２，２’，３，４，５，６，６’－ヘプタクロロビフェニル
74472-50-7	２，３，３’，４，４’，５’，６－ヘプタクロロビフェニル
74472-51-8	２，３，３’，４，５，５’，６－ヘプタクロロビフェニル
74472-52-9	２，２’，３，４，４’，５，６，６’－オクタクロロビフェニル
74472-53-0	２，３，３’，４，４’，５，５’，６－オクタクロロビフェニル
74487-85-7	２，２’，３，４’，５，６，６’－ヘプタクロロビフェニル
7487-94-7	二塩化水銀
749262-24-6	ヒ化水銀
75-05-8	アセトニトリル
75-07-0	アセトアルデヒド
75-09-2	ジクロロメタン
75-12-7	ホルムアミド
75-15-0	二硫化炭素
75-26-3	２－ブロモプロパン
75-27-4	ブロモジクロロメタン
75-43-4	ジクロロ（フルオロ）メタン
75-45-6	クロロ（ジフルオロ）メタン
75-50-3	トリメチルアミン
75-59-2	テトラメチルアンモニウム＝ヒドロキシド
75-63-8	ブロモ（トリフルオロ）メタン
75-66-1	２－メチルプロパン－２－チオール
75-68-3	１－クロロ－１，１－ジフルオロエタン
75-69-4	トリクロロ（フルオロ）メタン
75-71-8	ジクロロ（ジフルオロ）メタン
75-72-9	クロロ（トリフルオロ）メタン
75-74-1	テトラメチル鉛
75-86-5	２－ヒドロキシ－２－メチルプロパンニトリル
75-88-7	２－クロロ－１，１，１－トリフルオロエタン
75-91-2	ｔｅｒｔ－ブチル＝ヒドロペルオキシド
7546-30-7	塩化水銀（Ｉ）
76-03-9	トリクロロ酢酸
76-06-2	トリクロロ（ニトロ）メタン
76-11-9	１，１，１，２－テトラクロロ－２，２－ジフルオロエタン
76-12-0	１，１，２，２－テトラクロロ－１，２－ジフルオロエタン
76-13-1	１，１，２－トリクロロ－１，２，２－トリフルオロエタン
76-14-2	１，２－ジクロロ－１，１，２，２－テトラフルオロエタン
76-15-3	１－クロロ－１，１，２，２，２－ペンタフルオロエタン
76-87-9	トリフェニルスタンナノール
7616-83-3	過塩素酸水銀（ＩＩ）
7632-04-4	過ホウ酸ナトリウム
7632-51-1	塩化バナジウム
7637-07-2	三フッ化ホウ素
7645-25-2	ヒ酸鉛（１：？）
7646-85-7	塩化亜鉛（ＩＩ）
7647-18-9	五塩化アンチモン
7664-39-3	フッ化水素酸
7681-49-4	フッ化ナトリウム
76842-07-4	２，３，３’，４’，５’－ペンタクロロビフェニル
77-47-4	ペルクロロシクロペンタ－１，３－ジエン
77-78-1	ジメチル＝スルファート
7705-08-0	三塩化鉄（ＩＩＩ）
7717-46-6	ステアリン酸鉛（ＩＶ）
7718-54-9	塩化ニッケル（ＩＩ）
7718-98-1	三塩化バナジウム
7726-95-6	二臭素
7727-18-6	オキシ塩化バナジウム
7727-21-1	ペルオキシ二硫酸二カリウム
7727-54-0	ペルオキシ二硫酸ジアンモニウム
7733-02-0	硫酸亜鉛（ＩＩ）
7758-95-4	塩化鉛（ＩＩ）
7758-97-6	テトラオキシドクロム酸鉛（ＩＩ）
7758-98-7	硫酸銅（ＩＩ）
7758-99-8	硫酸銅（ＩＩ）五水和物
7761-88-8	硝酸銀（Ｉ）
7774-29-0	二ヨウ化水銀
7775-27-1	ペルオキシ二硫酸二ナトリウム
7782-86-7	硝酸水銀（Ｉ）・一水和物
7783-00-8	亜セレン酸
7783-30-4	ヨウ化水銀（Ｉ）
7783-32-6	Mercury diiodate
7783-33-7	テトラヨード水銀酸二カリウム
7783-34-8	硝酸水銀（ＩＩ）・一水和物
7783-35-9	硫酸水銀（ＩＩ）
7783-36-0	硫酸水銀（Ｉ）
7783-39-3	二フッ化水銀
7783-46-2	フッ化鉛（ＩＩ）
7783-47-3	フッ化スズ（ＩＩ）
7783-79-1	六フッ化セレン
7784-03-4	四ヨウ化水銀酸二銀
7784-37-4	ヒ酸水銀（ＩＩ）
7784-40-9	ヒ酸水素鉛（ＩＩ）
7784-42-1	アルシン
7786-81-4	硫酸ニッケル（ＩＩ）
7787-46-4	Beryllium dibromide
7787-47-5	塩化ベリリウム
7787-49-7	フッ化ベリリウム
7787-50-0	四フッ化ベリリウム酸カリウム
7787-52-2	二水素化ベリリウム
7787-53-3	Beryllium diiodide
7787-55-5	Beryllium and beryllium compounds
7787-56-6	硫酸ベリリウム四水和物
7789-10-8	二クロム酸水銀（ＩＩ）
7789-42-6	臭化カドミウム（ＩＩ）
7789-47-1	二臭化水銀
7790-78-5	二塩化カドミウム，水和物（２：５）
7790-80-9	ヨウ化カドミウム（ＩＩ）
7790-84-3	硫酸カドミウム（ＩＩ）水和物（３：８）
7791-08-4	クロロオキソアンチモン
7791-20-0	塩化ニッケル（ＩＩ）・六水和物
78-00-2	テトラエチル鉛
78-04-6	２，２－ジブチル－１，３，２－ジオキサスタネピン－４，７－ジオン
78-30-8	トリ－２－トリル＝ホスファート
78-32-0	トリ－４－トリル＝ホスファート
78-69-3	３，７－ジメチルオクタン－３－オール
78-97-7	アセトアルデヒドシアンヒドリン
7803-57-8	ヒドラジン一水和物
79-00-5	１，１，２－トリクロロエタン
79-06-1	アクリルアミド
79-10-7	アクリル酸
79-11-8	クロロ酢酸
79-21-0	過酢酸
79-34-5	１，１，２，２－テトラクロロエタン
79-41-4	メタクリル酸
79-43-6	ジクロロ酢酸
79-44-7	ジメチルカルバモイル＝クロリド
79-57-2	（４Ｓ，４ａＲ，５Ｓ，５ａＲ，６Ｓ，１２ａＳ）－４－（ジメチルアミノ）－３，５，６，１０，１２，１２ａ－ヘキサヒドロキシ－６－メチル－１，１１－ジオキソ－１，４，４ａ，５，５ａ，６，１１，１２ａ－オクタヒドロテトラセン－２－カルボキサミド
793-24-8	Ｎ－（１，３－ジメチルブチル）－Ｎ’－フェニル－１，４－フェニレンジアミン
79622-59-6	３－クロロ－Ｎ－（３－クロロ－５－トリフルオロメチル－２－ピリジル）－α，α，α－トリフルオロ－２，６－ジニトロ－ｐ－トルイジン
79983-71-4	２－（２，４－ジクロロフェニル）－１－（１Ｈ－１，２，４－トリアゾール－１－イル）－２－ヘキサノール
80-05-7	４，４’－プロパン－２，２－ジイルジフェノール
80-15-9	２－ヒドロペルオキシ－２－フェニルプロパン
80-54-6	３－（４－ｔｅｒｔ－ブチルフェニル）－２－メチルプロパナール
80-62-6	メチル＝メタクリラート
8001-54-5	アルキル（ベンジル）（ジメチル）アンモニウム＝クロリド
80076-45-5	２－［（２－トリルオキシ）メチル］オキシラン
818-08-6	ジブチルスズオキシド
818-61-1	２－ヒドロキシエチル＝アクリラート
82-68-8	ペンタクロロニトロベンゼン
82151-04-0	Mercury alloy, base, Hg 84,K 16
822-06-0	１，６－ジイソシアナトヘキサン
823-40-5	２－メチルベンゼン－１，３－ジアミン
82657-04-3	２－メチル－１，１’－ビフェニル－３－イルメチル＝（Ｚ）－３－（２－クロロ－３，３，３－トリフルオロ－１－プロペニル）－２，２－ジメチルシクロプロパンカルボキシラート
83689-82-1	六フッ化ケイ酸鉛（ＩＩ）・四水和物
84-61-7	ジシクロヘキサン－１－イル＝フタラート
84-66-2	ジエチル＝フタラート
84-74-2	ジブタン－１－イル＝フタラート
84029-41-4	３，－ジニトロトルエン
84029-42-5	２，－ジニトロトルエン
84852-15-3	４－ノニルフェノール（分枝）
85-00-7	６，７－ジヒドロジピリド［１，２－ａ：２’，１’－ｃ］ピラジン－５，８－ジイウム＝ジブロミド
85-44-9	イソベンゾフラン－１，３－ジオン
85409-22-9	アルキル（Ｃ＝１２～１４）（ベンジル）（ジメチル）アンモニウム＝クロリド
86-85-1	メタニド（キノリン－８－オラト－κＮ，κＯ）水銀
87-59-2	２，３－ジメチルアニリン
87-61-6	１，２，３－トリクロロベンゼン
87-62-7	２，６－ジメチルアニリン
87-86-5	２，３，４，５，６－ペンタクロロフェノール
872-50-4	１－メチル－２－ピロリドン
87247-00-5	４－ノニルフェノール
87392-12-9	２－クロロ－Ｎ－（２－エチル－６－メチルフェニル）－Ｎ－［（Ｓ）－１－メトキシプロパン－２－イル］アセトアミド
87674-68-8	Acetamide, 2-chloro-N-(2,4-dimethyl-3-thienyl)-N-(2-methoxy-1-methylethyl)-
88-12-0	Ｎ－ビニル－２－ピロリドン
88-18-6	２－ｔｅｒｔ－ブチルフェノール
88-60-8	２－ｔｅｒｔ－ブチル－５－メチルフェノール
88-72-2	２－ニトロトルエン
88-73-3	１－クロロ－２－ニトロベンゼン
88-85-7	２－ｓｅｃ－ブチル－４，６－ジニトロフェノール
89-61-2	１，４－ジクロロ－２－ニトロベンゼン
89-72-5	２－ｓｅｃ－ブチルフェノール
90-04-0	２－メトキシアニリン
90-12-0	１－メチルナフタレン
90-43-7	ビフェニル－２－オール
900-95-8	トリフェニルスタンニル＝アセタート
9016-87-9	ポリメチレンポリフェニレン＝イソシアナート
90583-07-6	Sulfuric acid, lead(2+) salt, basic
90583-37-2	塩基性亜硫酸鉛（ＩＩ）
91-08-7	２－メチル－１，３－フェニレン＝ジイソシアナート
91-17-8	デカヒドロナフタレン
91-20-3	ナフタレン
91-22-5	キノリン
91-53-2	６－エトキシ－２，２，４－トリメチル－１，２－ジヒドロキノリン
91-57-6	２－メチルナフタレン
91-94-1	３，３’－ジクロロビフェニル－４，４’－ジイルジアミン
91-97-4	４，４’－ジイソシアナト－３，３’－ジメチルビフェニル
91000-35-0	４－（２，４－ジメチルヘプタン－１－イル）フェノール
91388-81-7	ホウ酸鉛
91672-41-2	２－ノニル（分岐型）フェノール
917-69-1	酢酸コバルト（ＩＩＩ）
92-52-4	ビフェニル
92-84-2	フェノチアジン
92200-97-0	Mercury, reaction products with stibnite (Sb2S3)
93-15-2	４－アリル－１，２－ジメトキシベンゼン
93-65-2	２－（４－クロロ－２－メチルフェノキシ）プロパン酸
94-74-6	（４－クロロ－２－メチルフェノキシ）酢酸
94-75-7	２，４－ジクロロフェノキシ酢酸
94022-47-6	Mercury thallium dinitrate
94238-21-8	亜硫酸水銀（ＩＩ）
94487-00-0	２，４’，？－トリクロロビフェニル
95-31-8	Ｎ－（１，３－ベンゾチアゾール－２－イルスルファニル）－ｔｅｒｔ－ブチルアミン
95-47-6	ｏ－キシレン
95-48-7	ｏ－クレゾール
95-50-1	ｏ－ジクロロベンゼン
95-51-2	ｏ－クロロアニリン
95-53-4	ｏ－トルイジン
95-54-5	ｏ－フェニレンジアミン
95-55-6	ｏ－アミノフェノール
95-57-8	２－クロロフェノール
95-68-1	２，４－ジメチルアニリン
95-70-5	２－メチル－１，４－フェニレンジアミン
95-76-1	３，４－ジクロロアニリン
95-80-7	４－メチル－１，３－フェニレンジアミン
95-82-9	２，５－ジクロロアニリン
95465-99-9	Ｓ，Ｓ－ジ－ｓｅｃ－ブチル＝Ｏ－エチル＝ホスホロジチオアート
95998-58-6	過塩素酸
96-09-3	フェニルオキシラン
96-18-4	１，２，３－トリクロロプロパン
96-23-1	１，３－ジクロロプロパン－２－オール
96-33-3	メチル＝アクリラート
96-45-7	イミダゾリジン－２－チオン
96906-16-0	チオ硫酸水銀（ＩＩ）
97-00-7	１－クロロ－２，４－ジニトロベンゼン
97-77-8	テトラエチルチウラム＝ジスルフィド
97-88-1	メタクリル酸ｎ－ブチル
97-94-9	トリエチルボラン
97122-18-4	２，３，？’（又は３，４，？’）－トリクロロビフェニル
97122-20-8	２，４，？’（２，６，？’又は３，５，？’）－トリクロロビフェニル
97330-34-2	酸化ベリリウム
98-01-1	２－フルアルデヒド
98-07-7	ベンジリジン＝トリクロリド
98-54-4	４－ｔｅｒｔ－ブチルフェノール
98-88-4	塩化ベンゾイル
98-95-3	ニトロベンゼン
98886-44-3	Ｓ－ｓｅｃ－ブチル＝Ｏ－エチル＝（２－オキソ－１，３－チアゾリジン－３－イル）ホスホノチオアート
99-08-1	３－ニトロトルエン
99-54-7	１，２－ジクロロ－４－ニトロベンゼン
99-65-0	ｍ－ジニトロベンゼン
99554-08-2	（±）－２，２’，３，４，６－ペンタクロロビフェニル
99554-09-3	（±）－２，２’，３，４，４’，６－ヘキサクロロビフェニル
99554-10-6	（＋）－２，２’，３，４，６－ペンタクロロビフェニル
99554-11-7	（－）－２，２’，３，４，６－ペンタクロロビフェニル
99554-12-8	（＋）－２，２’，３，４，４’，６－ヘキサクロロビフェニル
99554-13-9	（－）－２，２’，３，４，４’，６－ヘキサクロロビフェニル
999-61-1	２－ヒドロキシプロピル＝アクリラート
