100-20-9	テレフタル酸クロライド	1,4-Benzenedicarbonyl dichloride
50789-88-3		Antimony, compound with gallium (1:1)
50809-58-0		1,4-Benzenediamine, N-(1,3-dimethylbutyl)-N'-phenyl-
50810-32-7		Dodecaaluminium magnesium nonadecaoxide
50811-86-4		Phosphorus pentoxide
50813-73-5		Naphtha
50814-12-5		Thiophanate-methyl
50815-48-0		Polyethylene glycol mono (1,1,3,3-tetramethylbutyl) phenyl ether
50816-00-7		Tribasic lead(II) sulfate
508202-43-5	７-アニリノ-４-ヒドロキシ-３-［（２-ヒドロキシ-５-スルファモイルフェニル）ジアゼニル］ナフタレン-２-スルホナートと７-アニリノ-４-ヒドロキシ-３-［（２-ヒドロキシ-５-スルホフェニル）ジアゼニル］ナフタレン-２-スルホナートとコバルトとナトリウムの錯体	Cobalt, 3-[[5-(aminosulfonyl)-2-hydroxyphenyl]azo]-4-hydroxy-7-(phenylamino)-2-naphthalenesulfonate 4-hydroxy-3-[(2-hydroxy-5-sulfophenyl)azo]-7-(phenylamino)-2-naphthalenesulfonate sodium complexes
50825-29-1	シクロヘキサンカルボン酸，鉛	Cyclohexanecarboxylic acid, lead salt (1:?)
50829-23-7		Benzoselenazolium, 2-[2-methyl-3-[3-(4-sulfobutyl)-2(3H)-benzoselenazolylidene]-1-propenyl]-3-(4-sulfobutyl)-, hydroxide, inner salt, sodium salt
50829-49-7		Benzenediazonium, 4-(benzoylamino)-2,6-bis(1-methylethoxy)-, chloride, compound with zinc chloride (ZnCl2)
50853-47-9		Toluene diisocyanate
50854-94-9	ウンデシルベンゼンスルホン酸	Benzenesulfonic acid, undecyl-
50855-29-3		Polyethylene glycol nonylphenyl ether
50858-71-4		Cyclohexanemethanamine, 5-amino-1,3,3-trimethyl-
50864-67-0	硫化バリウム	Barium sulfide (Ba(Sx))
50884-01-0		(1,3-Dihydro-2H-benzimidazole-2-thione-S)iodocopper
50885-87-5		Di(2-ethylhexyl) phthalate
50897-08-0	ビス［２-（ヒドロキシ-Ｏ）ベンズアルデヒドオキシマト-Ｎ］ニッケル	(SP-4-1)-Bis[2-(hydroxy-O)benzaldehyde oximato-N]nickel
509-09-1		Propanoic acid, 2,2,3,3,3-pentafluoro-, silver(1+) salt (1:1)
509-42-2	ストリキニーネリン酸塩	Strychnine phosphate
50905-71-0		Bis[3-(3-amino-3-oxopropyl)-2-[(1-methyl-2-phenyl-1H-indol-3-yl)azo]thiazolium] tetrachlorozincate(2-)
509121-40-8		Antimony, compound with manganese (1:3)
509171-19-1		Polyethylene glycol nonylphenyl ether
50922-29-7	酸化亜鉛クロム	Chromium zinc oxide
50924-44-2		Trichlorfon
50925-66-1		Chromium chloride, basic
50926-11-9	酸化スズインジウム	Indium tin oxide
50926-12-0	セレン化鉄	Iron selenide
50927-89-4		Methyl ethyl ketone peroxide
50929-03-8		Butylamine
50929-82-3		Ammonium chromate
50933-80-7		Ziram
50934-84-4		Polyethylene glycol nonylphenyl ether
50938-04-0	エルカ酸亜鉛	Zinc erucate
50954-17-1		Selenium
50960-09-3		2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate and ethenylbenzene, zinc salt
50974-99-7		Isophorone diisocyanate
50976-17-5	Ｎ，Ｎ-ジメチル-アミノメチルスチレン	Benzenemethanamine, ar-ethenyl-N,N-dimethyl-
50982-02-0		Benzenediazonium, 2,5-dibutoxy-4-(4-morpholinyl)-, (T-4)-tetrachlorozincate(2-) (2:1)
50984-64-0		Hydroxypropyl acrylate
50984-82-2		Phenol, 4,4'-(1-methylethylidene)bis[2,6-dimethyl-
50985-24-5		Toluene diisocyanate
50985-29-0		Hydroxypropyl acrylate
50988-21-1		Aluminum magnesium oxide
51-28-5	2,4-ジニトロフェノール	2,4-Dinitrophenol
51-52-5	プロピルチオウラシル	Propylthiouracil
51-75-2	メクロルエタミン	Chlormethine
51-79-6	ウレタン	Urethane
510-15-6	クロロベンジラート	Chlorobenzilate
51005-19-7		Hydrochloric acid
51005-20-0		Nitrogen oxide (NO)
51005-21-1		Nitrogen oxide (NO)
51019-92-2		1,3-Benzenediamine, ar-methyl-, dihydrochloride
5103-71-9	α-クロルデン	.alpha.-Chlordane
5103-74-2	β-クロルデン	trans-Chlordane
51052-59-6		Chlorthiophos I
51053-44-2	アシッド　ブルー-１７１	Acid Blue 171
51059-97-3		Polyethylene glycol nonylphenyl ether
51065-07-7		4,4'-Methylenebis(2-chloroaniline)
51067-38-0		4-Phenoxybenzeneboronic acid
5107-58-4	［ベンゼン-１，２，４，５-テトライルテトラキス（カルボニルオキシ）］テトラキス（トリブチルスタンナン）	[Benzene-1,2,4,5-tetrayltetrakis(carbonyloxy)]tetrakis[tributylstannane]
5107-59-5	トリブチル（イソニコチノイルオキシ）スタンナン	4-[[(Tributylstannyl)oxy]carbonyl]pyridine
5108-33-8	２，４，６，８-テトラメチルノナン-４-オール	4-Nonanol, 2,4,6,8-tetramethyl-
51084-32-3	コバルト（ＩＩ）＝ビス［４-（メトキシカルボニル）ベンゾアート］	1,4-Benzenedicarboxylic acid, monomethyl ester, cobalt(2+) salt
51105-45-4	トリフェニル（１Ｈ-ピラゾール-３-イル）プルンバン	3-(Triphenylplumbyl)-1H-pyrazole
5112-16-3	ノナン酸カドミウム	Nonanoic acid, cadmium salt
511295-01-5		2,3,5,6-Tetrafluorobenzeneboronic acid
51136-86-8		Hexanoic acid, 2-ethyl-, trianhydride with boric acid (H3BO3)
51138-28-4	１，２-ビス［（１，３，２-ジオキサスチボラン-２-イル）オキシ］エタン	1,3,2-Dioxastibolane, 2,2'-[1,2-ethanediylbis(oxy)]bis-
51139-42-5		Copper(2+), amminepentaaqua
51139-43-6		Copper(2+), diamminetetraaqua-
51140-33-1		Acetic acid, cobalt salt
51142-57-5		Triazophos
51147-75-2		Chromate(1-), bis[2-(3-chlorophenyl)-2,4-dihydro-4-[[2-hydroxy-5-(methylsulfonyl)phenyl]azo]-5-methyl-3H-pyrazol-3-onato(2-)]-, sodium
51148-10-8		Zinc pyrithione
51158-20-4		Bisphenol A epichlorohydrin polymer
51160-96-4		Polypropylene glycol bis(aminopropyl) ether
5117-16-8	1,1-ジメチル-2-セレノ尿素	Selenourea, N,N-dimethyl-
5117-17-9	１，１-ジエチルセレノ尿素	Selenourea, N,N-diethyl-
51184-13-5	酸化ケイ化窒化アルミニウム	Aluminum nitride oxide silicide
51198-70-0		Barium trisilicide
512-25-4	二クエン酸三バリウム	Tribarium dicitrate
512-26-5	クエン酸鉛(2+)	1,2,3-Propanetricarboxylic acid, 2-hydroxy-, lead(2+) salt (2:3)
51202-79-0	トリブロモビフェニル	Tribromobiphenyl
51207-31-9	2,3,7,8-テトラクロロジベンゾフラン	2,3,7,8-Tetrachlorodibenzofuran
5122-94-1	ビフェニル-４-イル（ジヒドロキシ）ボラン	4-Biphenylboronic acid
5122-95-2	（［１，１'-ビフェニル］-３-イル）ボロン酸	3-Biphenylboronic acid
51222-17-4		Chromium acrylate
51222-18-5	アクリル酸のニッケル塩（１：？）	Nickel acrylate
51222-60-7	ホウ酸カドミウム	Boric acid, cadmium salt
5124-30-1	ビス（４-イソシアナトシクロヘキシル）メタン	Cyclohexane, 1,1'-methylenebis[4-isocyanato-
51246-25-4	４-エチルデカン-４-オール	4-Decanol, 4-ethyl-
51246-26-5	４-エチルウンデカン-４-オール	4-Undecanol, 4-ethyl-
51250-25-0		Phosphoric acid, didodecyl ester, aluminum salt
51253-31-7		Tetrabromobisphenol A
51268-85-0		Blasticidin S, hydrochloride, (S)-isomer
51273-81-5		Bisphenol A epichlorohydrin polymer
51274-03-4		Carbaryl
51274-07-8		Nitrofen
51274-96-5		Nickel, [[1,2-ethanediylbis[carbamodithioato]](2-)]-, mixture with N,N'-bis(2-aminoethyl)-1,2-ethanediamine and [[1,2-ethanediylbis[carbamodithioato]](2-)]zinc
5128-10-9	ヘプタン酸銅(2+)	Heptanoic acid, copper(2+) salt
51287-83-3	ビス(3-メルカプトプロパン酸ドデシル)ジブチルスズ	Dodecyl 5,5-dibutyl-9-oxo-10-oxa-4,6-dithia-5-stannadocosanoate
51287-84-4	ビス(ドデシルチオ)ジメチルスタンナン	Stannane, bis(dodecylthio)dimethyl-
51294-16-7	パーフルオロ-メチルデカリン	Perfluoro-methyldecalin
513-49-5	ｓｅｃ-ブチルアミン	(S)-sec-Butylamine
513-77-9	炭酸バリウム	Barium carbonate
513-78-0	炭酸カドミウム	Cadmium carbonate
513-79-1	炭酸コバルト(II)	Carbonic acid, cobalt(2+) salt (1:1)
5131-56-6		Butylmercury acetate
51311-04-7	ホウ化チタン	Titanium boride (TiB12)
51311-89-8		Antimony iodide
51312-15-3		Antimony, compound with iron
51312-24-4	塩化水銀	Mercury chloride
51317-24-9	ニトロレゾルシン酸鉛	Lead nitroresorcinate
51323-43-4		3-(Bromomethyl)phenylboronic acid
51325-28-1	トリニトロフロログルシノール鉛	Trinitrophloroglucinol, lead salt
51329-63-6		Chromium lead oxide
51329-73-8		Bisphenol A epichlorohydrin polymer
51330-22-4		Aluminum hydroxide
51331-05-6		1,3-Benzenediol, 2,4,6-trinitro-, lead(2+) salt, monobasic
51331-32-9		C.I. Pigment Blue 15
51349-94-1	リン酸マンガン	Phosphoric acid, manganese(2+) salt (1:1)
51350-73-3		Trihydrogen hexafluoroaluminate
51351-67-8		Zinc, bis(O,O-dipentyl phosphorodithioato-S,S')-, (T-4)-
51366-17-7		Basic copper chloride
51375-45-2	トリクロロ（ドデシル）スタンナン	Trichlorododecylstannane
51385-03-6		Pyridine, 3-(1-methyl-2-pyrrolidinyl)-, (S)-, [R-(R*,R*)]-2,3-dihydroxybutanedioate (2:1)
51393-99-8		Bisphenol A epichlorohydrin polymer
51394-03-7		Bisphenol A epichlorohydrin polymer
51404-69-4	塩基性酢酸鉛	Acetic acid, lead salt, basic
51406-57-6		Zinc pyrithione
51426-08-5		Dodine
51429-91-5		Antimony, compound with rhodium (1:1)
51437-95-7	α-（ノニルフェニル）-ω-ヒドロキシポリ（オキシエチレン）	4-n-Nonylphenol triethoxylate
51449-18-4		Nickel, bis[1-[4-(diethylamino)phenyl]-2-phenyl-1,2-ethenedithiolato(2-)-S,S']-
51452-87-0		Benzene, 1,1'-oxybis[2-bromo-
51467-07-3		Nickel(2+), hexaammine-, dihydroxide, (OC-6-11)-
51472-11-8		Hydrogen bis[3-[4,5-dihydro-4-[(2-hydroxy-5-methyl-3-nitrophenyl)azo]-3-methyl-5-oxo-1H-pyrazol-1-yl]benzene-1-sulphonamidato(2-)]chromate(1-)
51481-19-7	ナトリウム [29H,31H-フタロシアニンスルホナト(3-)-N29,N30,N31,N32]クプラート(1-)	Sodium [29H,31H-phthalocyaninesulphonato(3-)-N29,N30,N31,N32]cuprate(1-)
514820-48-5		(1R)-(+)-Pinanediol-1-bis(trimethylsilyl)amino-3-methylbutane-1-boronate
51484-87-8		Strychnidin-10-one, mononitrate, mixture with 2-aminoethylcarbamimidothioate dihydrobromide and 5-methoxy-1H-indole-3-ethanaminemonohydrochloride
51487-69-5		Phenol, 2-(2-chloro-1-methoxyethoxy)-, methylcarbamate
5149-85-9	ビス［４-（ジエチルアミノ）ベンゼンジアゾニウム］＝（Ｔ-４）-テトラクロロジンカート（２-）	Benzenediazonium, 4-(diethylamino)-, (T-4)-tetrachlorozincate(2-) (2:1)
515-72-0		Barium di(benzenesulphonate)
515-76-4		Difetarsone disodium
51501-69-0		1,3,5-Triazine-2,4,6(1H,3H,5H)-trithione, trisilver(1+)
51506-29-7		4-Methylbenzenesulfonic acid
5153-64-0		Nicotine, monoacetate
51540-81-9		N-Cyclohexyl-2-benzothiazolesulfenamide
51552-64-8	２-（２，２-ジメチルプロピル）-４，４-ジメチルペンタン-１-オール	1-Pentanol, 2-(2,2-dimethylpropyl)-4,4-dimethyl-
51553-00-5		Bisphenol A epichlorohydrin polymer
51554-05-3	クロロモノスルホフタロシアニン銅(2+)	Cuprate(1-), [C-chloro-29H,31H-phthalocyanine-C-sulfonato(3-)-N29,N30,N31,N32]-, hydrogen
51557-01-8		hexamethylphosphoramide
51568-94-6		C.I. Direct Blue 15
51570-43-5	1,3,5-トリクロロナフタレン	1,3,5-Trichloronaphthalene
51570-44-6	1,2,6-トリクロロナフタレン	1,2,6-Trichloronaphthalene
51570-45-7	1,2,4,6-テトラクロロナフタレン	1,2,4,6-Tetrachloronaphthalene
51572-10-2		2,5-Dibutoxy-4-pyrrolidinylbenzenediazonium chloride zinc chloride
51572-12-4		Benzenediazonium, 2,5-bis(1-methylethoxy)-4-(4-morpholinyl)-, chloride, compound with zinc chloride (ZnCl2)
51572-13-5		Benzenediazonium, 2,5-bis(2-methylpropoxy)-4-(4-morpholinyl)-, chloride, compound with zinc chloride (ZnCl2)
51572-16-8	４-［ベンジル（エチル）アミノ］ベンゼンジアゾニウム＝クロリドと二塩化亜鉛の化合物	Benzenediazonium, 4-[ethyl(phenylmethyl)amino]-, chloride, compound with zinc chloride (ZnCl2)
51575-25-8		Hydroxyaluminium diformate
5158-52-1	３-｛ジメチル［３-（２，２，３，３，４，４，５，５，６，６，７，７，８，８，８-ペンタデカフルオロオクタンアミド）プロピル］アンモニオ｝プロパノアート	1-Propanaminium, N-(2-carboxyethyl)-N,N-dimethyl-3-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]-, inner salt
51580-86-0	ジクロロイソシアヌル酸ナトリウム二水和物	Sodium dichloroisocyanurate dihydrate
51594-55-9	（２Ｒ）-２-（クロロメチル）オキシラン	(R)-Epichlorohydrin
51595-71-2	硫化二水銀（Ｉ）	Mercury sulfide (Hg2S)
516-02-9	シュウ酸バリウム	Ethanedioic acid, barium salt (1:1)
5160-02-1	ピグメントレッド53	Benzenesulfonic acid, 5-chloro-2-[(2-hydroxy-1-naphthalenyl)azo]-4-methyl-, barium salt (2:1)
51609-19-9		Polyethylene glycol nonylphenyl ether
51622-02-7	ジヘプチル水銀	Diheptylmercury
51630-58-1	フェンバレレート	Fenvalerate
51655-57-3	２-ブチルノナン-１-オール	1-Nonanol, 2-butyl-
51655-63-1	３-ブチルノナン-１-オール	1-Nonanol, 3-butyl-
51668-34-9		Aluminum magnesium silicate
51668-51-0		Polyethylene glycol nonylphenyl ether
51668-55-4		Monoaluminum phosphate
51681-26-6		Copper, (1,3-dihydro-2H-benzimidazole-2-thione)iodo-
51682-73-6		Lead(II) sulfide
51682-76-9		Tin sulfide
51689-20-4		(7,7-Dimethyl-2-oxobicyclo[2.2.1]heptane-1-methanesulphonato-O1)bis(1-hydroxy-1H-pyridine-2-thionato-O,S)aluminium
51694-22-5	o-ニトロフェニル=セレノシアネート	Selenocyanic acid, 2-nitrophenyl ester
517-16-8	エチル（４-メチル-Ｎ-フェニルベンゼンスルホンアミド）水銀	N-(Ethylmercurio)toluene-4-sulphonanilide
51712-91-5		Radon-229
51712-92-6		Radon-230
51716-96-2		3-Amino-7-(diethylamino)-2-methylphenoxazin-5-ium tetrachlorozincate (2:1)
51731-04-5		Octadecanoic acid, zinc salt, basic
51733-03-0		1H-Pyrazolium, 5-[[4-(diethylamino)phenyl]azo]-2-(2-hydroxyethyl)-1-(phenylmethyl)-, (T-4)-tetrachlorozincate(2-) (2:1)
51761-16-1		7-Amino-2-naphthol hydrochloride
51787-30-5		Antimony, compound with lutetium (1:1)
51796-09-9		2-Propanol aluminum salt
51799-69-0	３-エチル-２-［３-（３-エチル-５，６-ジメチル-１，３-ベンゾセレナゾール-２（３Ｈ）-イリデン）-２-メチルプロパ-１-エン-１-イル］-５，６-ジメチル-１，３-ベンゾセレナゾール-３-イウム＝ブロミド	3-Ethyl-2-[3-(3-ethyl-5,6-dimethyl-3H-benzoselenazol-2-ylidene)-2-methylprop-1-enyl]-5,6-dimethylbenzoselenazolium bromide
51806-61-2		Naphthenic acids, cobalt salts
51807-23-9		1,4-Phenylene diisocyanate
51810-70-9	リン化亜鉛	Zinc phosphide
51815-14-6	トリス(マレイン酸オクチル)ブチルスズ	Octyl (Z,Z,Z)-6-butyl-6-[[4-(octyloxy)-1,4-dioxobut-2-enyl]oxy]-4,8,11-trioxo-5,7,12-trioxa-6-stannaicosa-2,9-dienoate
51818-56-5	ネオデカン酸のニッケル塩（１：？）	Neodecanoic acid, nickel salt
51819-19-3		Cuprate(1-), [3-[(2,4-dihydroxyphenyl)azo]-4-hydroxybenzenesulfonato(3-)]-, sodium
51821-32-0	硝酸2-ヒドロキシエチル水銀(II)	Nitric acid 2-hydroxyethylmercury(II) salt
51829-45-9		2-(2H-Benzotriazol-2-yl)-4,6-di-tert-pentylphenol
51839-24-8		Cobalt[II] carbonate hydroxide (2:3) monohydrate
51839-25-9		Carbonic acid, zinc salt, basic
51845-73-9		Antimony iron tin oxide
5185-84-2		Mercury, chloro(trans-2-methoxycyclooctyl)-
51851-79-7		Diisopropyl allylboronate
51852-94-9		Poly(oxy-1,2-ethanediyl), .alpha.-(isononylphenyl)-.omega.-hydroxy-
51855-90-4	アニリン＝オキサラート（１：？）	Aniline oxalate
51864-93-8	４-プロピルノナン-５-オール	5-Nonanol, 4-propyl-
51868-24-7	ピグメントレッド90	Pigment Red 90
51877-53-3	乳酸マンガン	Manganese lactate
51882-60-1		Selenium
51887-47-9		Mercury
51888-17-6		Sodium bis[8-amino-1-[(2-hydroxy-4-nitrophenyl)azo]-2-naphtholato(2-)]chromate(1-)
51899-02-6	硫酸鉛クロメート（Ｐｂ９（ＣｒＯ４）５（ＳＯ４）４）	Lead chromate sulfate (Pb9(CrO4)5(SO4)4)
51900-05-1	アンチモン酸ナトリウム（Ｎａ２Ｓｂ４Ｏ７）	Disodium antimonate (Na2Sb4O7)
51901-10-1		Nonactin, 5-demethyl-5-ethyl-, mixture with [[1,2-ethanediylbis[carbamodithioato]](2-)]manganese
51908-16-8	2,2',3,4',5,5'-ヘキサクロロビフェニル	2,2',3,4',5,5'-Hexachlorobiphenyl
51912-52-8		Copper, compound with lanthanum and nickel (4:1:1)
51914-60-4		Zinc nicotinate
51930-04-2		Benzene, 1,3-dibromo-2-phenoxy-
51931-46-5	ビス[3-[(4-クロロフェニル)アゾ]-2,4(1H,3H)-キノリンジオナト-O]ニッケル	Nickel, bis[3-[(4-chlorophenyl)azo]-2,4(1H,3H)-quinolinedionato]-
51938-25-1	ポリ(オキシエチレン)＝O-ノニルフェニル＝エーテル	Poly(oxy-1,2-ethanediyl), .alpha.-(2-nonylphenyl)-.omega.-hydroxy-
51938-59-1		Polyethylene glycol nonylphenyl ether
51938-60-4		Polyethylene glycol nonylphenyl ether
51943-95-4		Tetrachloro-.mu.-oxodialuminium
51944-07-1		Nickel(II) carbonate monohydrate
51952-23-9	１-ブチル-２，８，９-トリオキサ-５-アザ-１-スタンナビシクロ［３．３．３］ウンデカン	1-Butyl-2,8,9-trioxa-5-aza-1-stannabicyclo[3.3.3]undecane
51956-33-3	炭酸バリウムBa13	Barium carbonate-13C
51957-41-6		Arsenic acid (H3AsO4), trilithium salt
51981-73-8		1,2,3-Propanetricarboxylic acid, 2-hydroxy-, titanium salt (1:?)
51983-04-1	ビス（２-メトキシカルボニルフェノキシ）スズ	Bis(2-methoxycarbonylphenoxy) tin
52-24-4	チオテパ	Tris(1-aziridinyl)phosphine sulfide
52-46-0		Apholate
52-51-7	ブロノポール	2-Bromo-2-nitro-1,3-propanediol
52-68-6	トリクロルホン	Trichlorfon
52-85-7		Famphur
520-10-5	アルセナゾ I	Trisodium 2-(-hydrogen arsonatophenylazo)-1,8-dihydroxynaphthalene-3,6-disulphonate
52001-89-5		Carbaryl
52004-55-4		Cyclohexanemethanamine, 5-amino-1,3,3-trimethyl-
52005-71-7		Zinc dihexyl diisobutyl bis(dithiophosphate)
52005-81-9		Aluminum, diethyl(6,6,?-trimethylbicyclo[3.1.1]heptane-2-methanolato)-
52009-45-7	ブラストサイジンSラウリル硫酸塩	Blasticidin S, dodecyl sulfate, (S)-isomer
52009-46-8		Blasticidin S, methyl sulfate, (S)-isomer
52011-87-7		Bisphenol A epichlorohydrin polymer
52012-43-8		Polyethylene glycol nonylphenyl ether
52013-44-2		Nickel alloy, base, Ni,Ti (Nitinol)
52014-17-2		Manganese tungsten oxide
52014-33-2		Lead tungsten oxide
52018-21-0	２，５-ジメトキシ-４-（ピロリジン-１-イル）ベンゼンジアゾニウム＝テトラフルオロボラヌイド	Benzenediazonium, 2,5-dimethoxy-4-(1-pyrrolidinyl)-, tetrafluoroborate(1-)
52018-28-7	２，５-ジメトキシ-４-モルホリノベンゼンジアゾニウム＝テトラフルオロボラヌイド（１-）	Benzenediazonium, 2,5-dimethoxy-4-(4-morpholinyl)-, tetrafluoroborate(1-)
52019-27-9		Barium metaborate
5202-85-7		2-Amino-5-chlorobenzamide
52022-10-3	酒石酸ニッケル	Nickel [R(R*,R*)]-tartrate
52037-34-0		Bismuth vanadium oxide (BiVO4)
52037-42-0		Antimony, compound with calcium (3:5)
52037-44-2		Cadmium tungsten oxide
52037-46-4		Ethene, 1,1,2-trichloro-
52037-47-5		Cresol
52038-45-6		Bisphenol A epichlorohydrin polymer
52038-46-7		Polyethylene glycol nonylphenyl ether
52051-49-7		Polyethylene glycol nonylphenyl ether
52051-70-4		Bisphenol A epichlorohydrin polymer
52051-82-8		Bisphenol A epichlorohydrin polymer
52052-16-1		Bisphenol A epichlorohydrin polymer
52057-73-5	ビス(O-イソプロピルジチオ炭酸)ニッケル(2+)	Nickel O-isopropyldithiocarbonate
52080-60-1	三塩基性オクタデカン酸鉛（Ⅱ）	Octadecanoic acid, lead(2+) salt, tribasic
52080-81-6		Manganese, [[1,2-ethanediylbis[carbamodithioato]](2-)]-, mixture with methyl 1H-benzimidazol-2-ylcarbamate
52081-02-4		MSMA mixture with Prometryne
52082-39-0		Aluminium chloridephosphate
52082-48-1		Dibutyltin phosphite
52085-24-2	３-アミノ-１，５-ナフタレンジスルホン酸のナトリウム塩	1,5-Naphthalenedisulfonic acid, 3-amino-, sodium salt
52100-62-6		Aluminum, tris(2-hydroxypropanoato-O1,O2)-
521065-36-1	テトラフルオロ[エタンジオアト-0,0']リン酸(1-)リチウム	Phosphate(1-), [ethanedioato(2-)-O1,O2]tetrafluoro-, lithium, (OC-6-22)-
52108-54-0		Phosphoric acid, 2-ethylhexyl ester, zinc salt
52110-72-2	クロム酸アンモニウム	Ammonium chromate
52120-31-7		Tin di(octanolate)
52126-83-7	セレン化ヒ素	Arsenic selenide (As4Se4)
52132-44-2	トリメチルスズ　シンナメート	Trimethyltin cinnamate
52165-03-4	トリス（ドデシルスルファニル）（メチル）スタンナン	Stannane, tris(dodecylthio)methyl-
52166-82-2	Ｎ，Ｎ，Ｎ-トリメチル-３-（１，１，２，２，３，３，４，４，５，５，６，６，６-トリデカフルオロヘキサン-１-スルホンアミド）プロパン-１-アミニウム＝クロリド	1-Propanaminium, N,N,N-trimethyl-3-[[(tridecafluorohexyl)sulfonyl]amino]-, chloride
52186-48-8		Aluminium diformate
521947-27-3		4-(2,6-Dimethyl-2-heptyl)phenol
521982-71-8		Aluminum oxide
5221-49-8		Pyrimitate
52217-57-9	トリメトキシ（オクタ-７-エン-１-イル）シラン	Silane, trimethoxy-7-octenyl-
52227-36-8	塩化アルミニウム（Ａｌ２Ｃｌ３）	Aluminum chloride (Al2Cl3)
52231-92-2	塩基性亜硫酸鉛	Sulfurous acid, lead salt, basic
52232-05-0		Bisphenol A epichlorohydrin polymer
52232-75-4		Bisphenol A epichlorohydrin polymer
52233-00-8	ピグメントレッド58:4	C.I. Pigment Red 58:4
52233-09-7		Manganese, [[1,2-ethanediylbis[carbamodithioato]](2-)]-, mixture with 2,5-dimethyl-N-phenyl-3-furancarboxamide and [[1,2-ethanediylbis[carbamodithioato]](2-)]zinc
52233-42-8		Barium metaborate
52238-52-5		Manganese, [4-[(5-chloro-4-methyl-6-sulfophenyl)azo]-3-hydroxy-2-naphthalen ecarboxylato(2-)]-
5224-23-7		Triethyllead
52256-37-8	ビス［２，４-ジヒドロ-４-［（２-ヒドロキシ-５-ニトロフェニル）アゾ］-５-メチル-２-フェニル-３Ｈ-ピラゾール-３-オナト（２-）］クロム酸水素	Chromate(1-), bis[2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)]-, hydrogen
52256-38-9	ビス［２，４-ジヒドロ-４-［（２-ヒドロキシ-５-ニトロフェニル）アゾ］-５-メチル-２-フェニル-３Ｈ-ピラゾール-３-オナト（２-）］コバルト酸（１-）水素	Cobaltate(1-), bis[2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)]-, hydrogen
52256-39-0		Chromate(1-), [2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][2-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]benzoato(2-)]-, hydrogen
52256-40-3		Chromate(1-), [3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-4-hydroxybenzenesulfonamidato(2-)][4-hydroxy-3-[(2-hydroxy-1-naphthalenyl)azo]benzenesulfonamidato(2-)]-, hydrogen
52261-08-2		Titanium, tetrachlorotetrakis[4-[[(4-methoxyphenyl)azo]methyl]phenolato]bis(nickel)-
52270-44-7	ネオデカン酸コバルト(2+)	Neodecanoic acid, cobalt(2+) salt
52276-49-0		FireMaster BP 6
52276-55-8		Bisphenol A epichlorohydrin polymer
52277-69-7	ビス［１-［（２-ヒドキシ-５-ニトロフェニル）アゾ］-２-ナフタレン酸（２-）］コバルト酸（１-）水素	Cobaltate(1-), bis[1-[(2-hydroxy-5-nitrophenyl)azo]-2-naphthalenolato(2-)]-, hydrogen
52277-71-1	クロム酸(1-), [1-[(2-ヒドロキシ-4-ニトロフェニル)アゾ]-2-ナフタレノラト(2-)][1-[(2-ヒドロキシ-5-ニトロフェニル)アゾ]-2-ナフタレノラト(2-)]-, 水素	Chromate(1-), [1-[(2-hydroxy-4-nitrophenyl)azo]-2-naphthalenolato(2-)][1-[(2-hydroxy-5-nitrophenyl)azo]-2-naphthalenolato(2-)]-, hydrogen
52277-72-2	［２，４-ジヒドロ-４-［（２-ヒドロキシ-４-ニトロフェニル）アゾ］-５-メチル-２-フェニル-３Ｈ-ピラゾール-３-オナト（２-）］［１-［（２-ヒドロキシ-４-ニトロフェニル）アゾ］-２-ナフタレン酸（２-）］コバルト酸（１-）水素	Hydrogen [2,4-dihydro-4-[(2-hydroxy-4-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][1-[(2-hydroxy-4-nitrophenyl)azo]-2-naphtholato(2-)]cobaltate(1-)
52277-73-3	［２，４-ジヒドロ-４-［（２-ヒドロキシ-５-ニトロフェニル）アゾ］-５-メチル-２-フェニル-３Ｈ-ピラゾール-３-オナト（２-）］［１-［（２-ヒドロキシ-５-ニトロフェニル）アゾ］-２-ナフタレン酸（２-）］コバルト（１-）水素	Cobaltate(1-), [2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][1-[(2-hydroxy-5-nitrophenyl)azo]-2-naphthalenolato(2-)]-, hydrogen
52277-74-4		Hydrogen [2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][1-[(2-hydroxy-5-nitrophenyl)azo]-2-naphtholato(2-)]chromate(1-)
